,code,name
34,034220,LG디스플레이
36,009540,현대중공업
96,000210,대림산업
138,000670,영풍
156,003240,태광산업
201,001230,동국제강
209,001430,세아베스틸
231,000070,삼양홀딩스
264,002240,고려제강
271,064960,S&T모티브
285,060980,한라홀딩스
287,058650,세아홀딩스
290,072710,농심홀딩스
296,003920,남양유업
303,003030,세아제강
318,017390,서울가스
332,000050,경방
340,005810,풍산홀딩스
352,037710,광주신세계
362,002000,한국유리
374,000480,조선내화
377,007340,디티알오토모티브
418,002030,아세아
428,004970,신라교역
429,000430,대원강업
431,002310,아세아제지
439,015360,예스코
444,001940,KISCO홀딩스
446,000680,LS네트웍스
456,084010,대한제강
462,000140,하이트진로홀딩스
472,007810,코리아써키트
482,001790,대한제당
501,005950,이수화학
505,002460,화성산업
509,004890,동일산업
519,067830,세이브존I&C
530,004560,현대비앤지스틸
542,117580,대성에너지
550,019440,세아특수강
551,013570,디와이
552,033530,세종공업
554,003830,대한화섬
555,013580,계룡건설
582,005430,한국공항
594,014280,금강공업
597,010690,화신
599,009200,무림페이퍼
605,004440,대림씨엔에스
631,009160,SIMPAC
639,005800,신영와코루
647,001530,동일방직
659,000850,화천기공
663,002300,한국제지
665,014710,사조씨푸드
671,006370,대구백화점
687,003480,한진중공업홀딩스
688,100840,S&TC
696,000500,가온전선
700,012320,경동인베스트
701,012800,대창
708,023800,인지컨트롤스
709,129260,인터지스
713,010770,평화홀딩스
717,006660,삼성공조
718,007540,샘표
724,009770,삼정펄프
732,002200,수출포장
750,003610,방림
763,008870,금비
774,079660,사조해표
785,010040,한국내화
793,123700,SJM
803,004090,한국석유
817,084670,동양고속
819,004100,태양금속
836,000760,이화산업
838,021050,서원
840,004140,동방
846,005820,원림
847,002220,한일철강
853,071090,하이스틸
881,008110,대동전자
883,002710,TCC동양
896,006200,한국전자홀딩스
913,006110,삼아알미늄
1013,008500,일정실업
1471,028150,GS홈쇼핑
1535,030530,원익홀딩스
1551,025900,동화기업
1557,023410,유진기업
1564,003800,에이스침대
1627,023160,태광
1647,136480,하림
1676,100130,동국S&C
1695,121440,골프존뉴딘
1722,011370,서한
1739,017890,한국알콜
1784,009300,삼아제약
1788,104480,티케이케미칼
1827,090730,SIMPAC Metal
1833,151860,KG ETS
1835,131290,티에스이
1841,079370,제우스
1845,021320,KCC건설
1853,073560,우리손에프앤지
1902,005710,대원산업
1906,041440,에버다임
1914,054620,APS홀딩스
1916,014470,부방
1927,042420,네오위즈홀딩스
1939,058400,KNN
1950,036560,영풍정밀
1953,072470,우리산업홀딩스
1964,003100,선광
1974,007680,대원
1980,149950,아바텍
1989,037350,성도이엔지
1997,067310,하나마이크론
2006,002230,피에스텍
2009,088130,동아엘텍
2012,069510,에스텍
2017,027710,팜스토리
2021,033170,시그네틱스
2028,061970,엘비세미콘
2074,066130,하츠
2082,060370,KT서브마린
2083,045970,코아시아홀딩스
2106,080000,에스엔유
2110,101330,모베이스
2114,066360,체리부로
2115,004780,대륙제관
2121,095500,미래나노텍
2137,053620,태양
2162,079960,동양이엔피
2166,040300,YTN
2190,111870,삼본정밀전자
2200,067570,엔브이에이치코리아
2210,115310,인포바인
2212,056360,코위버
2221,900120,씨케이에이치
2223,025550,한국선재
2225,051490,나라엠앤디
2241,024880,케이피에프
2246,066670,디스플레이텍
2249,049430,코메론
2266,138070,신진에스엠
2267,036710,심텍홀딩스
2268,036640,HRS
2269,066900,디에이피
2272,064820,케이프
2282,024840,갑을메탈
2283,001810,무림SP
2289,073110,엘엠에스
2301,024120,KB오토시스
2311,065570,삼영이엔씨
2333,115440,우리넷
2339,237750,피앤씨테크
2354,050960,수산아이앤티
2358,032540,TJ미디어
2362,056700,신화인터텍
2366,071850,캐스텍코리아
2375,109860,동일금속
2376,024830,세원물산
2383,076080,웰크론한텍
2384,019010,그랜드백화점
2393,010470,오리콤
2402,032750,삼진
2406,032940,원익
2421,050860,아세아텍
2427,031310,아이즈비전
2431,039610,화성밸브
2433,060540,에스에이티
2443,024740,한일단조
2445,177830,파버나인
2451,075130,플랜티넷
2456,006050,국영지앤엠
2462,019540,일지테크
2466,096040,이트론
2467,039020,이건홀딩스
2468,017000,신원종합개발
2472,100660,서암기계공업
2477,153490,우리이앤엘
2491,039310,세중
2497,008470,부스타
2498,085910,네오티스
2507,187270,신화콘텍
2508,130500,GH신소재
2514,025880,케이씨피드
2516,002680,한탑
2517,048830,엔피케이
2518,075970,동국알앤에스
2523,024060,흥구석유
2525,174880,장원테크
2528,089150,케이씨티
2541,219130,타이거일렉
2547,051390,YW
2552,054930,유신
2558,176440,에이치엔티
2559,096610,알에프세미
2564,104460,동양피엔에프
2572,000440,중앙에너비스
2573,090740,연이정보통신
2583,067010,이씨에스
2584,033050,제이엠아이
2586,032280,삼일
2591,039740,한국정보공학
2603,077280,한컴지엠디
2605,051380,피씨디렉트
2607,060380,동양에스텍
2610,050760,에스폴리텍
2611,130740,티피씨글로벌
2621,099410,동방선기
2622,043260,성호전자
2626,054410,케이피티
2635,024940,PN풍년
2637,073190,디비케이
2643,119830,아이텍반도체
2649,026910,광진실업
2654,008830,대동기어
2656,020400,대동금속
2658,090150,광진윈텍
